,0
anticipation,0
antidote,0
antique,1
antiques,0
antiquities,0
antisocial,0
antivirus,0
antoni,0
antonio,4
antwerp,0
anu,0
anxieties,0
anxiety,2
anxious,1
anxiously,0
anyhow,0
anymore,3
anytime,0
anyway,2
anyways,0
anywhere,2
ao,1
ap,0
aparna,0
apart,3
apartment,4
apartments,2
apc,0
ape,1
apes,0
apex,1
aphorisms,0
apiece,0
apna,0
apne,0
apocalypse,3
apocalyptic,2
apollo,0
apologies,1
apologise,0
apologize,2
apologized,0
apology,0
app,1
appalling,1
apparel,0
apparently,3
appart,0
appeal,1
appealed,0
appealing,1
appeals,0
appear,2
appearance,0
appeared,0
appears,2
appetizer,0
applaud,0
applauding,0
applause,1
applauses,0
apple,6
appliances,0
applicable,0
application,1
applications,0
applied,0
applies,0
apply,3
applying,0
appointed,0
appointment,1
appointments,2
appraisal,1
appraisals,0
appreciate,3
appreciated,0
appreciating,0
appreciation,0
appreciative,0
apprehensive,0
approach,0
approached,1
approaching,0
appropriate,2
approval,0
approve,1
approved,1
approves,1
approx,0
approximately,0
apps,2
apr,0
april,31
apropos,0
apt,1
aptly,0
aq,1
aquarium,0
aquarius,1
aquatic,1
ar,0
arab,2
arabia,0
arabian,0
arabic,39
arachnid,1
aragorn,0
arbor,0
arbus,0
arc,0
arcade,0
arch,0
archbishop,0
archer,1
archery,1
archie,0
architect,0
architects,0
architectural,0
architecture,3
archival,0
archive,0
archived,0
archives,0
area,1
areas,1
arena,2
argentina,0
argentine,0
argue,0
arguing,1
argument,1
argyll,0
aria,0
ariel,0
arisen,0
arises,0
arising,0
aristotle,1
arizona,5
arjun,0
arkansas,0
arlington,1
arm,0
armada,0
armageddon,0
armani,0
armed,0
armor,0
armoured,1
armoury,0
armpits,0
arms,1
armstrong,0
army,2
arora,0
arrange,0
arranged,0
arrangements,0
arranging,0
arrest,4
arresting,1
arriba,0
arrival,0
arrivals,0
arrive,0
arrived,1
arrives,0
arriving,0
arrogance,0
arrows,0
arse,0
arsed,0
arsenal,1
arsenic,0
arsonists,1
art,28
arte,0
artform,0
artichoke,0
article,7
articles,0
artiest,0
artifacts,0
artificially,1
artisan,0
artisans,0
artist,8
artiste,1
artistes,0
artistic,1
artistry,0
artists,2
arts,0
artsy,2
artwork,2
artworks,1
arty,0
aruba,0
arundel,0
arundhati,1
arvo,0
asain,0
asante,0
asap,1
ascend,0
ascent,0
ascribe,0
asda,0
ash,0
ashamed,2
asheville,0
ashford,0
ashlee,0
ashley,0
ashoka,0
ashwin,0
asia,3
asian,2
asians,0
aside,0
asif,1
ask,5
asked,3
asking,2
asks,1
asl,0
asleep,0
aso,0
aspect,1
aspects,1
aspen,0
aspire,0
aspiring,1
ass,8
assassin,1
assault,1
assembled,0
assembles,1
assembly,0
asses,0
assess,0
assessment,1
asset,0
assets,1
asshole,0
assholes,0
assigned,0
assignment,1
assignments,0
assist,2
assistance,2
assistant,1
assistants,0
assisted,0
assisting,0
associated,1
associates,1
association,3
associations,0
assorted,1
assume,0
assumed,0
assurances,0
assure,0
assured,0
asthma,2
aston,1
astoria,1
astounding,0
astrid,0
astro,0
astrological,0
astrology,0
astronauts,0
astronomy,0
astute,1
aswell,0
asylum,0
ata,1
ate,2
atelier,0
atheist,0
athens,0
athlete,0
athletes,1
athletic,0
athletics,0
ati,1
atlanta,9
atlantic,0
atlas,0
atleast,1
atm,1
atmosphere,1
atomic,0
atop,0
atrocities,1
att,0
attach,0
attached,0
attack,1
attacked,1
attacking,1
attacks,0
attempt,3
attempted,0
attempting,0
attempts,1
attend,0
attendance,1
attendant,0
attended,0
attendees,0
attending,1
attention,5
attentions,0
attica,0
attire,0
attitude,1
attorney,1
attracted,0
attractions,0
attracts,0
atypical,0
au,0
auberge,0
aubrey,0
auburn,1
auction,0
auctioned,0
audi,0
audience,0
audio,1
audiobooks,0
audition,0
auditions,0
auditorium,0
audubon,0
august,0
augusta,1
augustin,0
auh,0
aunt,1
auntie,0
aunties,0
aunty,0
aur,1
aura,0
aurora,0
aus,1
auspicious,0
aussie,0
aussies,2
austin,10
australia,12
australian,1
australians,0
austria,0
austrian,0
authentic,0
authentically,0
author,1
authored,0
authoritarian,0
authorities,0
authority,3
authors,0
auto,0
autobiography,0
automata,0
automatically,1
automation,0
automaton,0
automobiles,0
automotive,1
autonomous,1
autos,0
autumn,0
av,0
availability,0
available,12
avalon,0
avant,2
avantgarde,0
avatar,1
avatars,0
ave,1
avec,1
avenge,0
avengers,0
avenue,1
average,0
averages,0
avi,0
aviation,0
avid,0
aviv,0
avocado,2
avoid,10
avoidable,0
avoided,0
avoiding,1
avon,0
avril,1
avtaar,0
await,0
awaiting,0
awaits,0
awake,2
awaken,0
awakening,0
award,0
awards,0
aware,0
awareness,6
awe,0
awesome,1
awesomely,0
awesomeness,0
awful,1
awfully,1
awhile,1
awkward,1
aww,0
ax,0
axel,0
ay,0
aya,1
ayala,0
aye,1
ayer,0
ayurvedic,0
ayutthaya,1
az,1
azalea,1
azur,0
azz,0
b,10
ba,1
baaaack,0
baaad,0
baal,0
baat,0
baba,0
babe,1
babes,3
babies,9
babu,0
baby,6
babyface,0
babysit,0
babysitter,0
baca,0
bacardi,0
bach,0
bachelor,0
backbone,1
backdrop,0
background,2
backlash,0
backpack,0
backpackers,0
backpacking,0
backs,0
backstabbing,0
backstage,0
backstory,0
backstreet,0
backup,0
backwards,0
backyard,1
backyards,0
bacon,3
bacteria,0
bacterial,0
bad,13
badass,0
badasses,0
badboys,0
baddest,0
baddie,0
baden,2
badge,0
badguy,0
badguys,1
badlands,0
badly,3
badman,0
badminton,0
badshah,0
bae,8
bag,5
bagels,0
bagg,0
baggins,0
bagman,0
bags,1
baguette,1
baguettes,0
bah,1
bahahahaha,0
bahamas,0
bahrain,0
bai,0
bail,0
bailey,0
bailout,0
bait,0
baithe,2
baja,1
bake,0
baked,4
baker,1
bakers,0
bakersfield,0
bakery,0
bakes,0
baking,1
balance,0
balanced,0
balboa,1
balcony,1
bald,0
baldwin,0
bali,0
balkan,0
ball,1
baller,0
ballerina,0
ballet,1
ballgame,0
balloon,0
balloons,0
ballot,0
ballroom,0
balls,1
bally,0
balsamic,1
baltimore,1
bam,0
bamboo,0
ban,0
bana,0
banana,2
bananas,2
banaras,0
band,1
banda,0
bandanna,0
bandara,0
bandidos,0
bandit,0
bandito,0
bands,2
bandwagon,0
bandwidth,1
bane,0
banerjee,0
bang,0
banging,2
bangkok,1
bangla,0
bangladesh,0
bangladeshi,0
bangor,1
banish,0
bank,7
bankers,2
banking,0
bankruptcy,1
banks,1
banned,0
banner,0
banners,1
banning,1
banquet,0
banquets,0
bans,0
banter,0
baptist,2
barack,2
barba,4
barbados,5
barbara,1
barbecue,0
barber,1
barbers,0
barbershop,0
barbet,0
barbie,0
barbies,0
barbs,0
barc,0
barcelona,2
barclays,0
bare,0
barely,1
bargain,0
bargains,0
bark,0
barked,0
barking,0
barley,0
barn,0
barnard,0
barnes,1
barnet,1
barracks,1
barrage,0
barre,1
barrel,0
barreling,1
barren,0
barrett,0
barrier,0
barriers,0
barrio,1
barrister,0
barrow,0
barry,0
bars,3
bart,0
bartender,1
bartenders,0
barter,1
bartlett,0
barton,0
bas,0
basa,0
base,3
baseball,0
based,6
baseline,0
basement,0
bash,0
basia,2
basic,1
basically,1
basics,0
basil,0
basildon,1
basilica,0
basin,0
basis,1
basket,2
basketball,2
baskin,0
basking,0
bass,0
bassis,0
bassist,0
bastard,0
bastards,0
bat,0
bata,0
batch,0
batches,0
bates,0
batgirl,0
bath,2
bathe,0
bathed,0
bathing,0
bathroom,0
baths,0
bathtub,0
batman,0
baton,0
batons,0
bats,0
battered,1
batteries,0
battersea,1
battery,0
batting,0
battle,6
battles,1
battling,2
bavaria,0
bavarian,0
baxter,0
bay,2
bayern,0
bayless,0
bayonne,0
bayreuth,0
bazaar,0
bb,0
bbc,3
bbcamerica,0
bbq,3
bc,4
bcs,0
bd,0
beach,22
beaches,0
beaching,1
beacon,1
bead,0
beads,0
beagle,1
beam,0
beamed,0
bean,0
beanies,0
beans,4
bear,1
bearable,0
beard,10
bearded,1
beards,0
bearing,0
bears,0
beast,3
beasts,0
beat,3
beaten,0
beating,1
beatles,0
beats,2
beaumont,0
beautician,0
beauties,1
beautiful,9
beautifully,0
beautify,0
beauty,4
bebe,0
bec,0
became,0
becca,0
beck,0
become,223
becomes,0
becoming,4
becouse,0
becuz,0
bed,2
bedding,0
bedford,6
bedouin,0
bedridden,0
bedrock,0
bedroom,1
beds,0
bedsheet,0
bedtime,1
bee,0
beef,3
beegees,0
beekeepers,0
beer,10
beered,0
beers,0
bees,0
beethoven,0
beetroot,1
befallen,0
befitting,0
beforehand,1
beg,1
began,2
begged,0
begging,0
begin,2
beginner,0
beginners,0
beginning,3
beginnings,0
begins,0
begone,0
begun,0
behalf,1
behave,0
behaving,0
behavior,0
behaviour,0
behaviours,1
behinds,0
behold,0
beige,0
beijing,0
beings,1
beirut,0
belarus,31
belated,0
belfast,0
belgian,0
belgium,7
belgrade,0
belief,0
beliefs,0
believe,9
believed,0
believer,0
believers,0
believes,1
believing,0
belive,1
belived,0
bell,2
bella,0
belle,1
belleau,0
bellevue,0
bellied,0
bellies,0
bellingham,0
bello,1
bellow,1
bells,0
bellucci,0
belly,1
belmont,1
belong,1
belongs,0
beloved,0
belt,0
belter,0
belts,0
belvedere,0
ben,0
bench,1
benches,0
benchmark,0
bend,0
bene,0
benedict,0
benefactors,0
beneficial,0
benefit,4
benefiting,0
benefits,2
bengal,0
bengali,0
benidorm,0
benjamin,0
benji,0
bennett,0
benny,1
benson,0
bent,0
bentley,0
benton,0
benz,2
beo,0
ber,0
berg,0
bergen,0
berkeley,0
berkshire,0
berlin,1
berlinale,0
berliners,0
bernal,0
bernard,0
bernice,0
bernie,0
bernstein,1
berries,0
berry,0
berserk,0
bert,0
bespoke,0
bestest,0
besties,0
bests,0
bestseller,0
bet,2
beta,0
beth,0
betta,0
bettering,0
betty,1
beutiful,0
beverage,0
beverages,0
beverly,0
beware,2
bey,1
beyonce,0
bf,0
bfc,1
bff,0
bffs,1
bg,1
bgm,0
bhag,0
bhai,0
bharat,1
bharti,0
bhat,0
bhatia,0
bhatti,0
bhi,1
bhopal,0
bhutan,1
bi,1
bib,0
bible,0
biblical,1
biceps,0
bicycle,0
bicycles,0
bid,2
bidder,0
bidet,0
big,10
bigfoot,0
bigg,0
bigger,4
biggest,4
biggie,0
bihar,1
bike,2
biked,0
biker,0
bikes,1
biking,1
bikini,0
biko,0
bild,0
bilingual,1
bill,3
billboard,0
billboards,0
billing,0
billings,1
billion,1
billionaires,0
billions,0
bills,3
billy,0
bin,3
binary,0
bind,0
binder,0
binding,0
bing,0
binge,0
binghamton,0
binging,0
bingo,0
binks,0
bintang,0
bio,12
biochemical,0
biohazard,0
biological,1
biologist,0
biology,0
bioterrorism,0
bioweapons,1
bir,0
bird,1
birdie,0
birdman,0
birds,1
birmingham,1
birth,4
birthday,6
birthdays,7
birthplace,0
biryani,0
biscuits,1
bisexual,0
bishop,0
bison,0
bistro,0
bit,12
bitch,2
bitches,1
bitchin,0
bitchy,0
bites,1
biting,0
bitter,1
bittersweet,0
bittersweetness,0
biz,0
bizarre,0
bizzaro,0
bjm,0
black,6
blackberry,0
blackburn,0
blackened,0
blacklist,0
blackman,1
blackout,0
blackpool,1
blackrock,0
blacks,0
blackwell,0
blackwood,0
blade,0
blades,0
blah,1
blaine,0
blair,0
blake,1
blame,5
blamed,1
blames,2
blaming,3
blanc,0
blanket,0
blankets,0
blas,0
blase,0
blast,1
blasted,1
blasting,0
blatantly,1
blaze,0
blazer,1
bleach,1
bleakness,0
blend,1
blended,0
blender,1
blending,0
blends,0
bless,2
blessed,5
blessing,1
blessings,1
bleu,0
blew,0
blind,2
blinded,0
blindfold,0
blinds,0
bling,0
blinking,0
bliss,0
blissful,0
blister,0
blisters,0
blitz,0
block,4
blockbuster,0
blocked,2
blocking,0
blocks,0
bloddy,0
blog,1
blogging,0
blogs,0
blogtalkradio,0
bloke,0
blond,0
blonde,2
blood,3
blooded,0
bloodless,0
bloodshot,0
bloodwork,1
bloody,1
bloom,1
bloomed,1
blooming,2
bloomington,0
blooms,0
bloopers,0
bloor,0
blossom,2
blossoms,1
blow,2
blower,1
blowing,0
blowjob,0
blown,0
blows,0
blu,2
blubber,0
blue,4
blueberries,1
blueberry,0
bluegrass,0
blues,5
bluff,0
blunders,0
blunt,0
bluntly,1
blunts,0
blur,0
blurr,0
blushed,0
blvd,0
bmx,0
bn,0
bo,1
board,0
boarded,0
boardgames,0
boardroom,1
boards,0
boardwalk,0
boasted,0
boasting,0
boat,2
boating,0
boats,0
boaz,0
bob,0
bobby,0
bobo,0
bobs,0
boca,4
bode,0
bodega,0
bodies,0
bods,0
body,9
bodybuilder,0
bodybuilding,1
bodysnatchers,1
bog,0
boggling,1
bogota,0
boho,0
boi,1
boil,1
boiled,0
boiling,0
boils,0
boing,0
bois,0
boise,1
bold,0
boldness,0
bolivia,0
bollocks,0
bollywood,1
bologna,1
bolster,1
bolsters,1
bolton,0
bomb,1
bombarding,0
bombay,2
bomber,0
bombing,0
bon,0
bonanza,0
bond,1
bondi,0
bonding,0
bonds,1
bone,1
bones,0
bonfire,0
bong,0
bongs,1
boni,0
bonkers,0
bonnet,0
bonnets,0
bonus,2
boo,1
boobies,0
booboo,1
boobs,1
boogie,0
book,12
booked,0
booking,0
bookings,0
books,2
bookshelves,0
bookshop,0
bookworms,0
boom,0
boomerang,1
boomers,0
booming,0
boon,0
boondocks,0
boooooom,0
booring,1
boos,0
boost,0
booster,0
boosters,0
boosting,0
boosts,0
boot,0
bootcamp,0
booth,0
booths,0
bootleg,0
boots,0
booty,0
booze,0
boozing,0
bora,0
borchardt,0
bordeaux,0
border,0
borderline,0
borders,1
bore,2
bored,20
boredom,8
boring,1
boris,2
born,0
borne,0
borough,0
borrow,0
borrowed,0
bosch,0
bose,0
bosnia,0
bosphorus,0
boss,0
boston,4
bot,0
botanical,1
botanist,0
bother,0
bothered,0
botswana,1
bottle,3
bottled,0
bottles,220
bottom,0
bottoms,0
bought,5
boulder,0
boulevard,0
bounce,0
bouncing,0
bound,0
boundaries,0
bounds,0
bountiful,0
bounty,1
bouquet,0
bourbon,0
bourke,1
bournemouth,0
bout,4
boutique,4
bow,1
bowe,0
bowen,1
bowie,0
bowing,1
bowl,1
bowling,1
bowls,1
bowman,0
box,3
boxer,0
boxers,0
boxes,0
boxing,0
boy,4
boyfriend,1
boyle,0
boys,1
boyz,0
bpc,0
bpl,0
bq,0
br,0
bra,1
brabant,3
brac,0
brace,1
bracelet,0
braces,0
bracket,0
brad,0
bradbury,0
bradford,0
bradshaw,0
brady,1
braff,0
brag,0
braids,0
brain,3
brainer,0
brainless,0
brains,1
brainstorm,0
brake,0
braking,0
branch,0
branches,1
brand,3
branded,0
brandenburg,0
brandi,0
branding,0
brandon,0
brands,1
brandy,1
branson,0
bras,0
brasher,0
brasil,0
brass,0
brats,0
brave,1
bravery,0
braves,0
braving,0
bravo,0
bravos,0
brawl,0
brawn,0
brazil,13
brazilian,1
brazilians,0
brea,0
breach,0
bread,1
breads,1
break,9
breakaway,0
breakdown,0
breaker,1
breakers,0
breakfast,4
breakfasts,1
breaking,2
breakout,0
breaks,0
breakthrough,1
breakup,0
breast,0
breasts,0
breath,4
breathable,0
breathe,2
breathed,0
breather,0
breathes,0
breathing,3
breaths,0
breathtaking,0
breckenridge,0
bred,0
breed,0
breeder,0
breeders,0
breeding,0
breeds,0
breeze,0
breezy,0
bremen,0
brent,1
brentwood,0
brethren,1
brevity,2
brew,0
brewed,0
brewer,0
brewery,1
brewing,1
brews,0
brian,2
brick,0
bricks,0
brickwork,0
bridal,4
bride,0
brides,2
bridesmaid,0
bridesmaids,0
bridge,1
bridgeport,0
brie,0
brief,0
briefing,6
brien,1
brigade,1
briggs,0
bright,2
brighten,0
brightened,0
brightens,0
brighter,0
brighton,1
briley,1
brilliant,0
brim,0
brimming,1
bring,10
bringing,11
brings,1
brinks,0
brisbane,0
brisk,0
bristol,0
britain,2
britannia,0
british,3
britney,0
britons,0
brits,0
brittain,0
britten,0
bro,3
broad,1
broadcast,0
broadcasting,0
broadhurst,0
broadway,1
broccoli,1
brochure,1
brock,0
brogues,0
broke,1
broken,1
brokenhearted,0
broker,0
bromley,0
bronte,0
bronx,1
bronze,0
bronzed,1
brood,0
brook,1
brooke,0
brookfield,0
brooklyn,6
brooms,1
bros,1
broth,0
brotha,0
brother,2
brotherhood,0
brothers,1
brought,1
brown,2
brownie,0
brownies,0
browns,0
browse,0
browsing,0
bruce,0
bruges,0
brugge,0
bruise,0
bruises,0
brum,1
brunch,1
brush,0
brushed,1
brushes,0
brushing,0
brussel,0
brussels,0
brutal,0
brutality,0
brutally,0
bryan,0
bryans,0
bryant,0
bryce,2
bs,1
bsa,0
bsb,0
bt,0
bts,0
btw,1
bubba,0
bubble,0
bubbles,0
bubbling,0
bubonic,0
buchanan,0
bucharest,0
buck,0
bucket,0
buckets,0
buckingham,0
buckinghamshire,0
buckle,0
bucks,0
buckshot,0
bucktown,0
bud,0
budapest,1
budd,0
buddha,1
buddies,0
budding,0
buddy,0
budge,1
budget,0
buds,0
budweiser,0
buena,0
buenos,0
buff,0
buffalo,0
buffer,1
bug,3
bugged,0
buggers,0
bugs,1
buh,1
build,4
builder,0
builders,0
building,8
buildings,2
built,1
bujo,0
bukowski,1
bulb,1
bulbs,0
bulgaria,1
bulgarian,1
bulge,0
bulk,4
bulky,0
bull,1
bulldog,0
bulldogs,0
bullet,0
bulletin,0
bullets,0
bullhorns,0
bullies,0
bullock,0
bullpen,0
bullring,0
bullsh,0
bullshit,0
bully,0
bullying,0
bummed,0
bummer,0
bump,0
bumper,0
bumping,1
bun,1
buna,1
bunch,1
bundle,0
bundy,0
bunghole,0
bungy,0
bunker,1
bunnies,0
bunny,0
buns,1
bunty,0
buongiorno,0
burbank,0
burden,0
burdened,0
burdens,0
burdick,0
bureau,0
bureaucratic,0
bureaucrats,0
burger,2
burgers,0
burgundy,1
burial,2
buried,1
burke,0
burn,6
burned,0
burner,0
burners,0
burning,0
burns,0
burnt,0
burping,0
burrito,0
burst,0
burton,0
bury,0
bus,2
buses,1
bush,1
bushman,0
busiest,0
business,21
businesses,4
businessmen,0
busker,0
bust,2
busted,0
buster,0
busters,0
busting,1
bustle,0
busy,5
busyness,0
butchers,0
bute,0
butler,0
butlers,0
butt,0
butter,0
buttercream,0
butterflies,1
butterfly,0
buttermilk,0
butternut,0
buttery,0
button,0
buttons,0
butts,0
buy,4
buyer,1
buyers,0
buying,2
buzz,0
buzzard,0
buzzing,0
bw,1
bwahahaha,1
bwp,0
bye,3
bypassing,0
byrd,0
byron,0
c,19
ca,4
cab,0
cabaret,0
cabbage,1
cabin,0
cabinet,0
cable,0
cables,0
cabo,0
caboolture,0
cabs,0
cacophony,1
cactus,0
caddy,0
cadet,1
cadillac,0
caesar,0
cafe,0
cafes,0
caffeinated,0
cage,0
caged,0
cairns,0
cairo,0
cake,1
cakes,0
cal,0
calamitous,0
calamity,0
calculate,0
calculus,0
calcutta,0
calder,0
caldwell,0
calendar,0
calgary,1
cali,0
california,37
call,43
callaway,0
called,10
callen,1
calles,0
calligraphy,0
callin,0
calling,4
calls,5
calm,5
calming,0
calmly,0
calmness,0
calms,0
calorie,0
calories,0
calves,0
calypso,1
calzone,0
cam,1
camaro,1
cambodia,0
cambridge,1
camden,0
came,11
camels,0
cameo,0
camera,2
cameraman,0
cameras,1
cameron,0
cameroon,0
camino,0
camo,0
camp,3
campaign,7
campaigning,0
campaigns,0
campbell,0
camper,0
campers,0
campground,0
camping,0
campos,0
camps,1
campus,3
campuses,0
canada,2
canadian,0
canadien,0
canal,4
canals,3
canary,0
canberra,2
cancel,1
canceled,2
canceling,0
cancellation,0
cancelled,6
cancelling,0
cancels,0
cancer,3
candice,0
candid,0
candidate,0
candies,1
candle,1
candlelight,0
candles,1
candy,1
cane,0
cannabis,4
canned,0
cannery,0
cannibal,0
canning,0
canon,2
canopy,2
cans,0
cant,5
canteen,0
canterbury,0
cantina,0
canton,0
cantor,0
canvas,5
canyon,2
cap,2
capabilities,0
capable,1
capacities,1
capacity,0
capaldi,1
cape,3
caper,0
capers,0
capes,0
capital,7
capitalism,0
capitalize,0
capitalizing,1
capitan,1
capitol,3
